Date,Area,WSA,TA,DA,RHA,RA,UVA,PSA,WDA
1-Jan-18,16178443.9,1.17,20.15,16.38,79.25,0.01,0.97,100.3,127.38
2-Jan-18,16178443.9,0.88,18.77,15.5,81.69,3.35,0.73,100.12,155.44
3-Jan-18,8254529,1.42,17.33,14.34,83.38,7.84,0.63,100.25,268
4-Jan-18,8254529,1.25,15.91,12.14,79.06,1.41,0.7,100.51,176.94
5-Jan-18,8254529,1.45,16.44,12.79,79.62,0,0.87,100.32,164
6-Jan-18,8254529,1.22,15.33,10.79,75.19,0,0.78,100.23,221.19
7-Jan-18,8254529,1.27,13.3,7.2,67.75,0,0.74,100.4,216.38
8-Jan-18,13600587.8,1.38,12.75,7.06,69.44,0,0.75,100.64,172.31
9-Jan-18,13600587.8,1.29,13.96,8.46,69.94,0,0.74,100.74,191.06
10-Jan-18,18480514.5,1.31,14.26,10.01,76.12,0,0.77,100.74,156.56
11-Jan-18,18480514.5,1.18,14.84,11.09,79.25,0,0.76,100.68,152.81
12-Jan-18,18480514.5,1.16,15.68,12.36,81.56,0,0.81,100.61,174.25
13-Jan-18,15801513.3,1.22,15.74,12.86,83.75,0,0.75,100.56,170.12
14-Jan-18,15801513.3,1.18,16.4,13.12,82.31,0,0.71,100.59,172.06
15-Jan-18,7246495.3,1.21,16.72,13.74,82.94,0.01,0.7,100.48,180.69
16-Jan-18,7246495.3,1.23,17.26,13.24,77.94,0,0.72,100.46,158.69
17-Jan-18,7246495.3,1.33,17.26,14.26,83.31,0,0.84,100.44,173.56
18-Jan-18,7246495.3,1.34,17.9,14.17,79.62,0,0.91,100.42,184.38
19-Jan-18,7246495.3,1.4,17.7,13.73,78.06,0,0.96,100.51,179.44
20-Jan-18,12206575.3,1.25,17.43,11.73,69.69,0,0.8,100.42,247.38
21-Jan-18,12206575.3,1.29,17.12,12.78,76.19,0,0.82,100.41,186.19
22-Jan-18,14533705.5,1.45,17.88,14.23,79.81,0,0.84,100.3,163.81
23-Jan-18,14533705.5,1.43,18.01,14.33,79.62,0,0.98,100.19,167.38
24-Jan-18,14533705.5,1.21,17.59,13.66,78.44,0,1.12,100.07,176.81
25-Jan-18,13052001.6,1.17,18.19,12,67.75,0,0.73,100.13,296.94
26-Jan-18,13052001.6,1.34,16.65,10.11,67.12,0,0.91,100.22,214.81
27-Jan-18,5433184.7,1.37,15.01,9.18,69.25,0,0.95,100.33,290.69
28-Jan-18,5433184.7,1.3,14.03,7.25,65.06,0,0.91,100.49,191.19
29-Jan-18,5433184.7,1.33,14.62,7.15,61.81,0,0.82,100.58,171.56
30-Jan-18,5433184.7,1.08,15.4,7.91,61.56,0,0.7,100.46,127.81
31-Jan-18,5433184.7,1.4,15.12,10.46,74.5,0,0.62,100.43,97
1-Feb-18,8336349.8,1.17,17.23,12.59,74.94,0,0.74,100.34,137.19
2-Feb-18,8336349.8,1.05,18.65,14.52,77.5,0,0.5,100.36,120
3-Feb-18,10179225.5,1.2,18.44,15.05,81.25,0,0.6,100.49,167.62
4-Feb-18,10179225.5,1.27,18.55,14.53,78.38,0,0.63,100.41,143.25
5-Feb-18,10179225.5,1.1,19.4,15.65,79.5,0,0.78,100.72,129.56
6-Feb-18,9520503.1,1.25,19.33,15.82,80.88,0,0.79,100.49,175.5
7-Feb-18,9520503.1,1.09,19.44,12.53,65.12,0,0.8,100.25,167
